"ISO3V10","Country","EPI_regions","Landlock","NoFor","NoEle","GDPCAP","GDPgroup","POP","EPI","EH","EV","eh.eh","ev.water","eh.water","ev.cc","eh.air","ev.air","ev.forest","ev.fish","ev.ag","ev.bh","ACSATINV","CHMORT","INDOOR","PM25","WATSUPINV","AGSUB","AZE","CO2CAP","CO2GDP","CO2KWH","FORCOVINV","FORGROINV","FORLOSS","FSOC","MPAEEZ","PACOV","POPs","RENEW","SO2CAP","SO2GDP","TCEEZ","WATUSEINV","EPI_trend","EH_trend","EV_trend","EH_EH_trend","EV_Water_trend","EH_Water_trend","EV_CC_trend","EH_Air_trend","EV_Air_trend","EV_Forest_trend","EV_Fish_trend","EV_Ag_trend","EV_BH_trend","ACSATINV_trend","CHMORT_trend","INDOOR_trend","PM25_trend","WATSUPINV_trend","AGSUB_trend","AZE_trend","CO2CAP_trend","CO2GDP_trend","CO2KWH_trend","FORLOSS_trend","FORGROINV_trend","FORCOVINV_trend","FSOC_trend","MPAEEZ_trend","PACOV_trend","POPs_trend","RENEW_trend","SO2CAP_trend","SO2GDP_trend","TCEEZ_trend","WATUSEINV_trend"
"VAT","Holy See","Europe",0,1,0,NA,NA,829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"VCT","Saint Vincent and the Grenadines","Latin America and Caribbean",0,0,0,7773.820575,"Middle",109333,NA,NA,NA,68.2,72.77,NA,NA,4.75,NA,85.37,98.38,0,49.16,NA,68.2,4.75,NA,NA,NA,28.59,NA,NA,NA,100,NA,56.1,100,56.23,41.71,0,NA,NA,NA,96.76,72.77,NA,NA,NA,21.63,-13.61,NA,NA,0,NA,-7.32,43.66,0,0,NA,21.63,0,NA,NA,NA,0,NA,NA,NA,-21.95,NA,0,37.33,0,0,0,NA,NA,NA,50,-13.61
"VEN","Venezuela","Latin America and Caribbean",0,0,0,10805.45135,"Middle",28834000,55.62,71.03,49.02,66.4,31.77,51.33,37.33,100,39.43,45.17,33.79,26.03,88.14,50.11,66.4,NA,100,52.55,39.04,62.53,46.52,20.33,20.09,30.44,NA,74.61,50.98,88.65,100,0,72.79,35.77,43.1,16.59,31.77,2.88,9.27,-2.34,13.69,-34.11,9.69,7.05,0,4.14,-27.42,23.06,0,0,12.6,13.69,NA,0,6.78,0,0,-15.94,21.44,11.59,-12.69,NA,-34.78,48.09,0,0,0,22.61,1.73,6.56,-1.97,-34.11
"VGB","British Virgin Islands","Latin America and Caribbean",0,0,0,38981.25,"Upper",24939,NA,NA,NA,NA,48.93,100,NA,NA,NA,100,45.49,0,49.45,100,NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,100,17.67,49.49,32.76,0,NA,NA,NA,73.31,48.93,NA,NA,NA,NA,-25.54,0,NA,NA,NA,0,-45.2,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,-50,0,0,0,NA,NA,NA,-40.4,-25.54
"VIR","United States Virgin Islands","Latin America and Caribbean",0,0,0,14681.25,"Upper",109775,NA,NA,NA,85.35,57.82,NA,NA,NA,NA,68.62,42.72,0,79.86,NA,85.35,NA,NA,NA,NA,NA,NA,NA,NA,19.91,100,85.95,52.09,73.66,86.06,0,NA,NA,NA,33.35,57.82,NA,NA,NA,10.41,-21.09,NA,NA,NA,NA,-15.69,-38.51,0,0,NA,10.41,NA,NA,NA,NA,NA,NA,NA,NA,-7.02,0,-40.04,-40.84,0,0,0,NA,NA,NA,-36.18,-21.09
"VNM","Viet Nam","East Asia and the Pacific",0,0,0,2874.782702,"Middle",86936464.42,50.64,51.57,50.24,66.4,37.76,42.5,56.52,30.98,43.82,81.39,19.43,47.79,54.12,29.4,66.4,7.15,54.81,55.59,33.06,44.71,97.92,43.15,11.58,100,100,44.17,25.76,71.71,36.65,77.27,36.04,53.09,34.56,13.11,37.76,4.2,20.38,-9.04,24.21,-31.12,45.17,-21.01,-12.08,-17.61,-9.31,-1.03,19.56,6.16,40.34,24.21,2.9,-27.05,50,19.96,0,-14.02,-23.68,-2.13,-27.92,0,0,0,12.61,1.94,18.75,-50,-27.01,-8.21,-2.06,-31.12
"VUT","Vanuatu","East Asia and the Pacific",0,0,0,4133.638243,"Middle",239651,NA,38.65,NA,63.58,90.74,25.08,NA,2.35,NA,88.94,69.89,0,24.5,16.12,63.58,2.35,NA,34.04,NA,0,NA,NA,NA,100,NA,66.83,46.15,32.85,24.59,0,NA,NA,NA,93.62,90.74,NA,25.19,NA,38.39,-4.63,24.23,NA,-0.25,NA,-5.53,46.59,0,1.76,18.22,38.39,-0.25,NA,30.24,NA,0,NA,NA,NA,-16.59,NA,0,50,2.39,0.28,0,NA,NA,NA,43.19,-4.63
"WLF","Wallis and Futuna Islands","East Asia and the Pacific",0,1,0,3847.5,"Middle",15343,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,0,0,1.18,0,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-50,0,0,0,NA,NA,NA,0,NA
"WSM","Samoa","East Asia and the Pacific",0,1,0,3946.865285,"Middle",183081,NA,55.24,NA,68.68,83.67,70.73,NA,12.88,NA,100,39,0,35.1,100,68.68,12.88,NA,41.47,NA,0,NA,NA,NA,100,NA,NA,8.02,47.41,20.59,0,NA,NA,NA,69.99,83.67,NA,13.48,NA,25.17,-8.16,-2.3,NA,5.86,NA,0,-25,0,0.21,0,25.17,5.86,NA,-4.6,NA,0,NA,NA,NA,NA,NA,0,0,0,12.24,0,NA,NA,NA,-50,-8.16
"YEM","Yemen","Middle East and North Africa",0,1,0,2266.768329,"Lower",24052514,35.49,33.7,36.26,42.05,15.03,16.03,39.86,34.67,28.03,100,35.27,72.83,35.52,15.67,42.05,14.8,54.54,16.4,79.7,NA,100,11.59,5.35,100,100,100,45.05,63.71,3.29,59.09,0,38.47,17.58,25.49,15.03,9.33,23.89,-2.59,44.49,-42.49,7.71,-0.1,-1.11,35.73,0,-18.04,0,0,20.39,44.49,1.44,-3.66,-4.97,0,NA,0,-17.94,41.2,0,0,0,-18.64,0,0,0,0,37.58,33.89,-17.43,-42.49
