"pointspread" "score1" "score2" "scorediff" "loc"
3.5 68 70 2 "N"
-14 74 59 -15 "H"
-4.5 47 62 15 "V"
4 72 71 -1 "N"
8.5 82 71 -11 "N"
2.5 61 78 17 "N"
-16.5 67 53 -14 "H"
-20.5 87 55 -32 "H"
1.5 74 65 -9 "V"
11 88 86 -2 "N1"
-10.5 75 67 -8 "H"
-5.5 68 49 -19 "V"
-21.5 70 57 -13 "H"
2 72 66 -6 "V"
-1 79 73 -6 "V"
-9 62 47 -15 "H"
2.5 64 63 -1 "H"
2.5 53 54 1 "V"
-6 83 71 -12 "H"
2.5 58 75 17 "V"
-15.5 75 68 -7 "H"
-11.5 77 58 -19 "H"
-3 59 56 -3 "V"
-12 67 71 4 "H"
-11.5 68 63 -5 "V"
-16.5 68 49 -19 "H"
-2.5 61 65 4 "H"
7.5 52 84 32 "V"
1.5 73 62 -11 "V"
-7 67 62 -5 "H"
-4 73 67 -6 "N"
-1.5 69 58 -11 "N"
4.5 56 67 11 "N"
-3.5 68 56 -12 "N"
1.5 72 74 2 "N"
-12.5 81 66 -15 "H"
-14.5 80 62 -18 "H"
-2 70 88 18 "N"
3 68 78 10 "N"
-19.5 81 62 -19 "H"
-14.5 87 75 -12 "H"
-11 85 60 -25 "HN"
4.5 62 83 21 "V"
-12 61 58 -3 "H"
-2.5 78 68 -10 "V"
7 64 79 15 "V"
-19 84 54 -30 "H"
-11 97 71 -26 "HN"
-14.5 92 51 -41 "H"
-4.5 80 76 -4 "V"
-18 76 51 -25 "H"
2 82 64 -18 "V"
-5 69 70 1 "H"
-14 74 57 -17 "H"
10 63 83 20 "V"
-11 85 67 -18 "V"
-11 63 61 -2 "V"
-6.5 96 79 -17 "H"
-8 68 74 6 "V"
-14.5 87 99 12 "H"
-18 86 72 -14 "H"
-12 70 68 -2 "H"
8 57 64 7 "V"
5.5 65 70 5 "H"
-8.5 73 70 -3 "V"
-10.5 69 72 3 "N"
-6 90 79 -11 "H"
-8 90 71 -19 "H"
3.5 70 76 6 "N"
-20.5 79 62 -17 "H"
-2 72 61 -11 "V"
-11 73 70 -3 "N"
-4.5 68 57 -11 "N"
-5.5 78 58 -20 "N"
8 56 81 25 "V"
-1.5 75 76 1 "H"
1.5 64 74 10 "H"
-13.5 68 59 -9 "H"
-11 62 67 5 "H"
7.5 65 79 14 "V"
1 72 64 -8 "V"
-5.5 47 62 15 "H"
-5.5 67 54 -13 "H"
5.5 59 69 10 "V"
-1 62 57 -5 "V"
6 71 81 10 "V"
-7 71 68 -3 "H"
-1.5 58 54 -4 "H"
4.5 62 66 4 "V"
12.5 77 69 -8 "V"
-2 76 63 -13 "H"
-8 76 68 -8 "H"
6 48 46 -2 "V"
-1 60 59 -1 "V"
-10.5 64 46 -18 "H"
-4.5 62 46 -16 "H"
-5 70 83 13 "H"
-8 69 79 10 "N1"
3.5 64 61 -3 "HN"
7.5 60 66 6 "HN"
4.5 46 53 7 "V"
-3.5 64 53 -11 "H"
-1.5 67 76 9 "H"
19 70 68 -2 "V"
14 68 86 18 "V"
7 56 69 13 "V"
11.5 64 72 8 "V"
9 62 75 13 "V"
-3.5 58 48 -10 "V"
-1.5 79 73 -6 "H"
-3 72 67 -5 "H"
2 67 69 2 "V"
7 55 77 22 "V"
2.5 81 83 2 "V2"
-6.5 88 59 -29 "H"
-6.5 75 64 -11 "H"
4.5 45 52 7 "V"
6 48 50 2 "V"
-1.5 67 62 -5 "H"
-7.5 68 53 -15 "H"
